// reward point fontend

// invitation
"You will be awarded %s points. Please Login or Create New Account to receive these points.","You will be awarded %s points. Please Login or Create New Account to receive these points."

//Checkout page
"You Redeem (%s)","You Redeem (%s)"
"You Redeem (%s points)","You Redeem (%s points)"
"You Earn","You Earn"
"You Redeemed(%s)","You Redeemed(%s)"
"Date","Date"
"Updating cart information...","Updating cart information..."
"Use your rewarded points","Use your rewarded points"
"Use your reward points","Use your reward points"
"Reward points","Reward points"
"Use Your Reward Points!","Use your rewarded points!"
"You will be awarded","You will be awarded"
"Total","Total"
"You will be awarded <b>%s</b>","You will be awarded <b>%s</b>"
"You have <b>%s</b> available (<b>%s</b> = <b>%s</b>)","You have <b>%s</b> available (<b>%s</b> = <b>%s</b>)"
"You have <b>%s</b> available <br>(<b>%s</b> = <b>%s</b>)","You have <b>%s</b> available <br>(<b>%s</b> = <b>%s</b>)"
"Slide to specify number of points to redeem","Slide to specify number of points to redeem"
"Points to redeem","Points to redeem"
"Use maximum (<b>%s</b>)","Use maximum (<b>%s</b>)"

"Reward Points Information","Reward Points Information"
"Points/Currency Exchange Rate: <br><b>%s</b> = <b>%s</b>","Points/Currency Exchange Rate: <br><b>%s</b> = <b>%s</b>"
"Your current balance of rewarded points: <br><b>%s</b>","Your current balance of rewarded points: <br><b>%s</b>"
"Maximum Points Allowed to Use: <b>%s</b>","Maximum Points Allowed to Use: <b>%s</b>"
"Choose number of points to redeem","Choose number of points to redeem"
"Use maximum number of points","Use maximum number of points"
"Please <a href='%s'>LOGIN</a> to use reward points","Please <a href='%s'>LOGIN</a> to use reward points"
"%s for <b>%s grand total</b> of this order","%s for <b>%s grand total</b> of this order"
"%s for this order","%s for this order"
"%s for product: <b>%s</b>","%s for product: <b>%s</b>"
"Spend your rewarded points","Spend your rewarded points"
"Points to redeem at checkout","Points to redeem at checkout"
"You Spend","You Spend"
"You Redeem","You Redeem"
"You Redeemed","You Redeemed"
"Total Spent Points","Total Spent Points"
"Total Points","Total Points"
"Your balance has not enough point to spend!","Your balance has not enough point to spend!"
"For using points to checkout order, please login!","For using points to checkout order, please login!"

//Message
"You have been rewarded %s %s for submitting poll","You have been rewarded %s %s for submitting poll"
"You recived %s %s points for signing up.","You recived %s %s points for signing up."
"You received %s for signing up a newsletter","You have been rewarded %s for subscribing newsletter!"
"Email can not send !","Email can not send !"
"Email can not send","Email can not send"
"Your reward points were sent successfuly","Your reward points were sent successfuly"
"Your reward points were sent successfully","Your reward points were sent successfully"
"You can not send reward points to yourself","You can not send reward points to yourself"
"You do not have enough points to send to your friend","You do not have enough points to send to your friend"
"Your Security code is incorrect","Your Security code is incorrect"
"You do not have permission!","You do not have permission!"
"You do not enought points to exchange","You do not enought points to exchange"
"Credit module error or has not been installed yet","Credit module error or has not been installed yet"
"Your reward points was exchanged to credit successfuly","Your reward points was exchanged to credit successfuly"
"There is a system error. Please contact to administrator.","There is a system error. Please contact to administrator."
"Seperate by comma (,)","Seperate by comma (,)"
"Spent Reward Points","Spent Reward Points"
"Reward Points Discount","Reward Points Discount"
"Reward Points Manager","Reward Points Manager"
"Some errors occur while importing points","Some errors occur while importing points"
"You must login to use this function","You must login to use this function"
"Credit module error or has not been installed yet","Credit module error or has not been installed yet"
"The %s will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>","The %s will not be added or subtracted if the transaction status is <b>Pending or Uncompleted</b>"

// api

"Customer email (%s) have customer id = %s","Customer email (%s) have customer id = %s"
"Customer email (%s) is not avaiable","Customer email (%s) is not avaiable"
"data (%s) is not avaiable","data (%s) is not avaiable"
"Customer email (%s) have %s reward points","Customer email (%s) have %s reward points"
"The customer id (%s) (%s) updates point successfully. Current balance: %s reward points","The customer id (%s) (%s) updates point successfully. Current balance: %s reward points"
"%s reward points must be numeric","%s reward points must be numeric"
"Customer id (%s) is not avaiable","Customer id (%s) is not avaiable"
"Customer id (%s) (%s) have %s reward points","Customer id (%s) (%s) have %s reward points"

